Species,TotalOrnamentValue(PreviouslyPublished),MaleBodyMass(SSDDataset).in.g,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,FemaleBody(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodymass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism_(ExcludingDichromatism),SexualOrnamentDimorphism
Cercopithecus_mitis,2,7930,3.7,1,23.9,4250,1.866,19.47,10.5,1.854,7930,,,7930,0,0,0,0,0,0,0,0,1,0,1,1
Hylobates_muelleri,2,,,,3.4,,1.067,19.6,18.6,1.054,5710,,,5710,0,0,1,0,0,0,0,0,0,0,1,1
Papio_cynocephalus,2,21800,1.3,8,55.3,12300,1.772,27.39,9.12,3.003,21800,24320,52,22640,0,0,1,0,0,0,0,0,0,0,1,1
Papio_ursinus,2,29800,2,7,48.7,14800,2.014,46.53,12.12,3.839,29800,26075,69.76,28558,0,0,1,0,0,0,0,0,0,0,1,1
Cacajao_calvus,2,3450,,,35.1,2880,1.198,13.58,10.82,1.255,3450,3450,5.8,3450,1,0,0,0,0,0,0,0,0,0,1,1
Colobus_angolensis,2,9680,2,,81,7570,1.279,17.66,9.57,1.845,9680,,,9680,0,0,0,0,0,0,0,0,0,1,1,1
Cercopithecus_diana,3,5200,,,24.1,3900,1.333,19.94,12.32,1.619,5200,,,5200,0,0,0,0,0,0,0,0,1,0,1,1
Cercopithecus_neglectus,3,7350,,,9.2,4130,1.78,20.68,11.64,1.777,7350,,,7350,0,0,0,0,0,0,0,0,1,0,1,1
Cercopithecus_wolfi,3,3910,,,12,2870,1.362,18.06,9.59,1.883,3910,5380,5.35,4400,0,0,0,0,0,0,0,0,1,0,1,1
Allenopithecus_nigroviridis,3,6130,,,35,3180,1.928,18.41,8.33,2.21,6130,5000,16.96,5753,0,0,0,0,0,0,0,0,1,0,1,1
